node_name,node_type,has_metadata_transport_type,metadata_transport_type,declared_dependencies,declared_config_env_vars,publish_topics_count,subscribe_topics_count,handler_transports_detected,classification,classification_reason
node_code_enrichment_effect,EFFECT,true,postgres,ProtocolCodeEntityRepository|llm_coder|llm_fallback,CODE_ENRICHMENT_BATCH_SIZE|CODE_ENRICHMENT_CONFIDENCE_THRESHOLD|CODE_ENRICHMENT_VERSION|LLM_CODER_URL|LLM_FALLBACK_URL,1,1,,config_required,"handler_transports=[], declared_dep_transports=['llm', 'postgres'], config_env_vars=5, publish=1, subscribe=1"
node_coderabbit_triage,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_compliance_sweep,compute,false,,,,2,1,postgres,needs_review,handler uses ['postgres'] but contract dependencies[] does not declare it
node_conflict_hunk_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_contract_sweep,compute,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_coverage_sweep,compute,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_create_ticket,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_dashboard_sweep,compute,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_data_flow_sweep,compute,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_data_verification,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_database_sweep,compute,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_design_to_plan,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_dispatch_queue_drainer,compute,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_dispatch_worker,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_dispatch_worker_execution_effect,effect,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_doc_freshness_sweep,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_dod_sweep_orchestrator,orchestrator,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_dod_verify,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_duplication_sweep,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_e2e_orchestrator,orchestrator,false,,,,0,0,kafka,needs_review,handler uses ['kafka'] but contract dependencies[] does not declare it
node_emit_daemon,service,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_env_parity_compute,compute,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_environment_health_scanner,compute,false,,,,2,1,valkey,needs_review,handler uses ['valkey'] but contract dependencies[] does not declare it
node_filesystem_crawler_effect,EFFECT,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_finding_aggregator_compute,COMPUTE_GENERIC,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_fixer_dispatcher,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_full_triage_orchestrator,orchestrator,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_gap_compute,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_golden_chain_sweep,compute,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_handoff_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_hostile_reviewer,workflow,true,kafka,,,6,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=6, subscribe=1"
node_integration_sweep_orchestrator,orchestrator,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_integration_test_runner,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_intelligence_orchestrator,ORCHESTRATOR_GENERIC,true,kafka,intelligence_adapter_effect|intelligence_reducer|pattern_extraction_compute|pattern_learning_compute|pattern_matching_compute|quality_scoring_compute|semantic_analysis_compute,,8,5,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=8, subscribe=5"
node_intelligence_reducer,REDUCER_GENERIC,true,postgres,container|database,,1,2,,config_required,"handler_transports=[], declared_dep_transports=['postgres'], config_env_vars=0, publish=1, subscribe=2"
node_intent_event_consumer_effect,EFFECT,true,kafka,HandlerIntentStorageAdapter,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_intent_query_effect,EFFECT,false,,AdapterIntentGraph|kafka|memgraph,,1,1,postgres,needs_review,handler uses ['postgres'] but contract dependencies[] does not declare it
node_intent_storage_effect,EFFECT,true,kafka,AdapterIntentGraph|memgraph,,2,0,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=0"
node_kafka_topic_emit_probe,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_kreuzberg_parse_effect,EFFECT,true,kafka,ModelKreuzbergParseConfig,,2,2,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=2"
node_ledger_append_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_ledger_hash_compute,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_ledger_orchestrator,orchestrator,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_ledger_state_reducer,reducer,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_linear_triage,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_llm_eval_harness,compute,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_local_review,compute,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_local_supervisor,effect,false,,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_log_projection,reducer,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_loop_state_reducer,reducer,true,kafka,,,1,7,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=7"
node_memory_lifecycle_orchestrator,ORCHESTRATOR_GENERIC,false,,ProtocolArchiveStorage|ProtocolMemoryStorage|ProtocolProjectionReader,,4,3,postgres,needs_review,handler uses ['postgres'] but contract dependencies[] does not declare it
node_memory_retrieval_effect,EFFECT,true,postgres,ProtocolMemoryOperations|ProtocolVectorStoreHandler|graph_db|postgresql|qdrant,,1,1,,config_required,"handler_transports=[], declared_dep_transports=['postgres'], config_env_vars=0, publish=1, subscribe=1"
node_memory_storage_effect,EFFECT,true,postgres,ProtocolMemoryBase|ProtocolMemoryOperations|ProtocolMemoryStorage|filesystem|pinecone|postgresql|redis,,4,0,,config_required,"handler_transports=[], declared_dep_transports=['postgres', 'valkey'], config_env_vars=0, publish=4, subscribe=0"
node_merge_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_merge_sweep_auto_merge_arm_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_merge_sweep_compute,compute,true,kafka,,,1,1,kafka,config_required,"handler_transports=['kafka'], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_merge_sweep_state_reducer,reducer,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_merge_sweep_triage_orchestrator,orchestrator,true,kafka,,,7,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=7, subscribe=1"
node_model_router,compute,true,kafka,ModelRoutingPolicy|model_registry,,1,0,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=0"
